lat,lon,score_15min,population_density
34.64770027128219,32.991444905963405,25.0,86.01320648193358
34.66573617403633,32.99144305248452,12.5,921.8375854492189
34.67024514137273,32.9914425888574,12.5,3362.624267578125
34.719843561507645,32.991437482155824,0.0,249.7700653076172
34.72435248873618,32.99143701729116,0.0,249.7700653076172
34.72886141262113,32.99143655232323,0.0,58.0557975769043
34.733370333162306,32.991436087252,0.0,168.26597595214844
34.647700531992236,32.99690097717862,37.5,86.01320648193358
34.65220951273528,32.996900809382105,62.5,895.387451171875
34.65671849013786,32.99690064154833,75.0,895.387451171875
34.6612274641998,32.99690047367725,75.0,921.8375854492189
34.67024540230089,32.996900137823204,25.0,3362.624267578125
34.71533489230044,32.996898456312906,12.5,980.0719604492189
34.71984382291605,32.99689828795634,0.0,249.7700653076172
34.724352750188274,32.996898119562374,0.0,249.7700653076172
34.72886167411691,32.996897951131004,0.0,58.0557975769043
34.73337059470178,32.99689778266221,0.0,168.26597595214844
34.73787951194268,32.99689761415598,0.0,168.26597595214844
34.647700548590684,33.0023570484311,25.0,863.8193969726561
34.6522095293365,33.002357176053415,62.5,2623.37890625
34.65671850674187,33.002357303704095,75.0,2623.37890625
34.66122748080657,33.00235743138313,75.0,3559.22216796875
34.66573645153042,33.00235755909054,62.5,3559.22216796875
34.67024541891322,33.002357686826315,50.0,4412.8603515625
34.710825974978974,33.00235883772613,25.0,1782.5413818359375
34.71533490894056,33.00235896574598,25.0,1782.5413818359375
34.71984383955894,33.00235909379427,0.0,770.8165893554686
34.72435276683395,33.002359221871004,0.0,770.8165893554686
34.72886169076538,33.002359349976196,0.0,199.16148376464844
34.733370611353024,33.002359478109845,12.5,396.2072143554688
34.737879528596714,33.00235960627196,12.5,396.2072143554688
34.65220930178528,33.00781354269637,75.0,2688.46875
34.65671827915257,33.00781396583151,75.0,2688.46875
34.66122725317921,33.00781438906065,87.5,3571.813720703125
34.66573622386499,33.00781481238383,87.5,3571.813720703125
34.670245191209716,33.007815235801054,75.0,4908.8798828125
34.674754155213186,33.00781565931234,75.0,4646.48193359375
34.70180786905687,33.00781820235677,12.5,3372.457763671875
34.70631680966614,33.00781862652714,25.0,3372.457763671875
34.71082574693261,33.007819050791745,25.0,2041.6641845703125
34.71533468085608,33.007819475150605,25.0,2041.6641845703125
34.71984361143635,33.007819899603746,25.0,1698.981201171875
34.72435253867324,33.007820324151176,12.5,1698.981201171875
34.72886146256653,33.00782074879292,0.0,626.3655395507812
34.733370383116046,33.00782117352902,12.5,602.8150634765625
34.737879300321595,33.00782159835946,12.5,602.8150634765625
34.65220883008161,33.01326990924534,62.5,2688.46875
34.65671780737001,33.013270627864905,62.5,2688.46875
34.66122678131774,33.01327134664413,87.5,3571.813720703125
34.6657357519246,33.01327206558307,87.5,3571.813720703125
34.670244719190386,33.01327278468171,75.0,4908.8798828125
34.67475368311492,33.01327350394013,75.0,4646.48193359375
34.67926264369802,33.013274223358344,75.0,4646.48193359375
34.69729845261193,33.01327710262987,62.5,3407.998779296875
34.701807396484824,33.0132778228476,37.5,3372.457763671875
34.706316337015096,33.01327854322533,37.5,3372.457763671875
34.71082527420256,33.01327926376311,37.5,2041.6641845703125
34.71533420804703,33.01327998446096,50.0,2041.6641845703125
34.71984313854827,33.01328070531892,25.0,1698.981201171875
34.72435206570613,33.01328142633703,12.5,1698.981201171875
34.72886098952038,33.013282147515326,12.5,626.3655395507812
34.733369909990856,33.01328286885383,12.5,602.8150634765625
34.73787882711735,33.013283590352586,0.0,602.8150634765625
34.656717091394185,33.01872728973865,62.5,1948.892822265625
34.66122606522215,33.018728304067935,87.5,3837.337158203125
34.66573503570925,33.01872931862257,75.0,3837.337158203125
34.670244002855256,33.018730333402615,75.0,4682.08056640625
34.67475296666,33.01873134840812,75.0,4966.87353515625
34.679261927123285,33.01873236363912,75.0,4966.87353515625
34.6837708842449,33.01873337909567,75.0,4930.88037109375
34.68827983802466,33.01873439477783,75.0,4930.88037109375
34.69278878846239,33.01873541068565,62.5,4898.91064453125
34.697297735557854,33.01873642681915,75.0,4898.91064453125
34.70180667931087,33.018737443178416,75.0,4134.7939453125
34.70631561972127,33.01873845976348,100.0,4134.7939453125
34.71082455678884,33.01873947657439,62.5,3468.216552734375
34.71533349051339,33.018740493611205,62.5,3468.216552734375
34.71984242089471,33.01874151087395,37.5,2246.89892578125
34.72435134793263,33.0187425283627,12.5,2246.89892578125
34.72886027162695,33.018743546077495,0.0,783.4296264648436
34.73336919197747,33.018744564018384,0.0,127.8340072631836
34.6612251048925,33.02418526126637,50.0,2146.87060546875
34.66573407521898,33.02418657143667,62.5,2146.87060546875
34.670243042204355,33.02418788189806,75.0,3971.69091796875
34.67475200584845,33.024189192650596,75.0,4743.142578125
34.679260966151055,33.024190503694335,75.0,4743.142578125
34.683769923112,33.02419181502936,87.5,5008.587890625
34.68827887673106,33.02419312665572,87.5,5008.587890625
34.692787827008054,33.024194438573474,87.5,5058.1162109375
34.69729677394279,33.02419575078269,87.5,5058.1162109375
34.70180571753506,33.024197063283445,87.5,4725.3203125
34.70631465778468,33.02419837607579,100.0,4725.3203125
34.71082359469146,33.02419968915978,87.5,2455.166259765625
34.71533252825521,33.0242010025355,62.5,2455.166259765625
34.71984145847572,33.024202316202995,50.0,1247.18896484375
34.7243503853528,33.02420363016233,12.5,1247.18896484375
34.728859308886264,33.02420494441358,0.0,333.1736145019531
34.665732870453816,33.02964382395969,62.5,2146.87060546875
34.67024183723771,33.029645430102356,87.5,3971.69091796875
34.6747508006803,33.02964703660186,87.5,4743.142578125
