lat,lon,score_15min,population_density
34.756620626379494,32.405254834225325,62.5,431.9622802734375
34.76112928270752,32.40522250147317,75.0,448.75924682617193
34.77014658524999,32.40515781442007,87.5,1085.7957763671875
34.77465523146403,32.40512546011599,75.0,1588.1773681640625
34.77916387430634,32.4050930986248,62.5,1588.1773681640625
34.78367251377672,32.40506072994493,50.0,1221.708251953125
34.75664718570831,32.410717768486656,62.5,1591.4429931640625
34.7611558464725,32.41068573267962,87.5,2101.817138671875
34.765664503866006,32.410653689756124,87.5,2101.817138671875
34.77017315788867,32.41062163971463,87.5,2460.88623046875
34.774681808540265,32.41058958255357,75.0,2060.70166015625
34.77919045582062,32.4105575182714,62.5,2060.70166015625
34.78369909972951,32.41052544686657,50.0,1869.156982421875
34.75667349998094,32.41618070986289,75.0,2175.998779296875
34.76118216514034,32.416148971002514,75.0,3080.872314453125
34.76569082692954,32.41611722509165,87.5,3080.872314453125
34.77019948534834,32.41608547212874,87.5,3107.014404296875
34.774708140396584,32.416053712112266,100.0,3135.986328125
34.77921679207401,32.416021945040676,100.0,3135.986328125
34.783725440380465,32.41599017091244,87.5,2287.67431640625
34.752190896313145,32.42167509321725,87.5,2175.998779296875
34.75669956919633,32.42164365828809,75.0,2175.998779296875
34.76120823871001,32.42161221637591,75.0,3080.872314453125
34.76571690485397,32.4215807674792,87.5,3080.872314453125
34.770225567627996,32.42154931159643,87.5,3107.014404296875
34.7747342270319,32.42151784872607,100.0,3135.986328125
34.77924288306549,32.4214863788666,100.0,3135.986328125
34.78375153572856,32.42145490201649,100.0,2287.67431640625
34.78826018502091,32.42142341817422,75.0,2287.67431640625
34.747708035592396,32.4271688828715,75.0,1862.2822265625
34.75221671615736,32.42713775174168,62.5,1540.1561279296875
34.761234067180496,32.42707546873385,62.5,2743.25830078125
34.76574273763826,32.427044316852815,75.0,2743.25830078125
34.77025140472659,32.42701315805169,100.0,2659.658203125
34.77476006844523,32.426981992328976,100.0,3620.451904296875
34.779268728794015,32.42695081968315,100.0,3620.451904296875
34.783777385772744,32.4269196401127,100.0,2927.943603515625
34.78828603938122,32.42688845361612,100.0,2927.943603515625
34.76125965055077,32.432538728010364,62.5,1854.8282470703125
34.76576832528142,32.43250787314652,75.0,1854.8282470703125
34.77027699664308,32.43247701142857,87.5,3199.870361328125
34.77478566463552,32.432446142855,100.0,3423.56640625
34.77929432925856,32.43241526742432,100.0,3423.56640625
34.783802990512015,32.432384385135045,100.0,3234.684326171875
34.78831164839565,32.432353495985666,100.0,3234.684326171875
34.79282030290927,32.43232259997469,62.5,1694.629150390625
34.765793667782425,32.43797143629434,75.0,1854.8282470703125
34.77030234337648,32.43794087166104,75.0,3199.870361328125
34.774811015601784,32.43791030023812,87.5,3423.56640625
34.77931968445814,32.43787972202409,87.5,3423.56640625
34.783828349945345,32.43784913701749,100.0,3234.684326171875
34.78833701206319,32.43781854521681,100.0,3234.684326171875
34.792845670811474,32.43778794662058,75.0,1694.629150390625
34.765818765140274,32.4434350062303,75.0,2470.627197265625
34.7703274449258,32.44340473868314,75.0,2146.588623046875
34.774836121343014,32.44337446441235,75.0,2144.790771484375
34.779344794391726,32.44334418341646,87.5,2144.790771484375
34.78385346407174,32.443313895694,87.5,2471.550048828125
34.78836213038284,32.4432836012435,62.5,2471.550048828125
34.79287079332484,32.443253300063496,50.0,2202.582763671875
34.79737945289754,32.44322299215251,50.0,2202.582763671875
34.78838700335361,32.448748663999694,50.0,2471.550048828125
34.79289567044835,32.44871866023739,50.0,2202.582763671875
34.797404334174246,32.44868864981017,50.0,2202.582763671875
34.792920302181045,32.454184027076195,25.0,1105.5592041015625
34.79742897001916,32.454154314134186,25.0,1105.5592041015625
34.79294468852193,32.459649400513854,25.0,378.51763916015625
34.797453360431305,32.4596199850585,12.5,378.51763916015625
